name,height,mass,hair_color,skin_color,eye_color,birth_year,gender,homeworld,species,films,vehicles,starships
Luke Skywalker,172,77,blond,fair,blue,19,male,Tatooine,Human,"The Empire Strikes Back, Revenge of the Sith, Return of the Jedi, A New Hope, The Force Awakens","Snowspeeder, Imperial Speeder Bike","X-wing, Imperial shuttle"
C-3PO,167,75,NA,gold,yellow,112,NA,Tatooine,Droid,"The Empire Strikes Back, Attack of the Clones, The Phantom Menace, Revenge of the Sith, Return of the Jedi, A New Hope",,
R2-D2,96,32,NA,"white, blue",red,33,NA,Naboo,Droid,"The Empire Strikes Back, Attack of the Clones, The Phantom Menace, Revenge of the Sith, Return of the Jedi, A New Hope, The Force Awakens",,
Darth Vader,202,136,none,white,yellow,41.9,male,Tatooine,Human,"The Empire Strikes Back, Revenge of the Sith, Return of the Jedi, A New Hope",,TIE Advanced x1
Leia Organa,150,49,brown,light,brown,19,female,Alderaan,Human,"The Empire Strikes Back, Revenge of the Sith, Return of the Jedi, A New Hope, The Force Awakens",Imperial Speeder Bike,
Owen Lars,178,120,"brown, grey",light,blue,52,male,Tatooine,Human,"Attack of the Clones, Revenge of the Sith, A New Hope",,
Beru Whitesun lars,165,75,brown,light,blue,47,female,Tatooine,Human,"Attack of the Clones, Revenge of the Sith, A New Hope",,
R5-D4,97,32,NA,"white, red",red,NA,NA,Tatooine,Droid,A New Hope,,
Biggs Darklighter,183,84,black,light,brown,24,male,Tatooine,Human,A New Hope,,X-wing
Obi-Wan Kenobi,182,77,"auburn, white",fair,blue-gray,57,male,Stewjon,Human,"The Empire Strikes Back, Attack of the Clones, The Phantom Menace, Revenge of the Sith, Return of the Jedi, A New Hope",Tribubble bongo,"Jedi starfighter, Trade Federation cruiser, Naboo star skiff, Jedi Interceptor, Belbullab-22 starfighter"
Anakin Skywalker,188,84,blond,fair,blue,41.9,male,Tatooine,Human,"Attack of the Clones, The Phantom Menace, Revenge of the Sith","Zephyr-G swoop bike, XJ-6 airspeeder","Trade Federation cruiser, Jedi Interceptor, Naboo fighter"
Wilhuff Tarkin,180,NA,"auburn, grey",fair,blue,64,male,Eriadu,Human,"Revenge of the Sith, A New Hope",,
Chewbacca,228,112,brown,unknown,blue,200,male,Kashyyyk,Wookiee,"The Empire Strikes Back, Revenge of the Sith, Return of the Jedi, A New Hope, The Force Awakens",AT-ST,"Millennium Falcon, Imperial shuttle"
Han Solo,180,80,brown,fair,brown,29,male,Corellia,Human,"The Empire Strikes Back, Return of the Jedi, A New Hope, The Force Awakens",,"Millennium Falcon, Imperial shuttle"
Greedo,173,74,NA,green,black,44,male,Rodia,Rodian,A New Hope,,
Jabba Desilijic Tiure,175,1358,NA,"green-tan, brown",orange,600,hermaphrodite,Nal Hutta,Hutt,"The Phantom Menace, Return of the Jedi, A New Hope",,
Wedge Antilles,170,77,brown,fair,hazel,21,male,Corellia,Human,"The Empire Strikes Back, Return of the Jedi, A New Hope",Snowspeeder,X-wing
Jek Tono Porkins,180,110,brown,fair,blue,NA,male,Bestine IV,Human,A New Hope,,X-wing
Yoda,66,17,white,green,brown,896,male,NA,Yoda's species,"The Empire Strikes Back, Attack of the Clones, The Phantom Menace, Revenge of the Sith, Return of the Jedi",,
Palpatine,170,75,grey,pale,yellow,82,male,Naboo,Human,"The Empire Strikes Back, Attack of the Clones, The Phantom Menace, Revenge of the Sith, Return of the Jedi",,
Boba Fett,183,78.2,black,fair,brown,31.5,male,Kamino,Human,"The Empire Strikes Back, Attack of the Clones, Return of the Jedi",,Slave 1
